CDT,Central Daylight Time,中部夏令时,North America,北美洲,UTC -5
CDT,Cuba Daylight Time,古巴夏令时,Caribbean,加勒比海,UTC -4
CEST,Central European Summer Time,中欧夏令时,Europe Antarctica,"欧洲,南极洲",UTC +2
CET,Central European Time,中欧时间,Europe Africa,"欧洲,非洲",UTC +1
CHADT,Chatham Island Daylight Time,查塔姆岛夏令时,Pacific,太平洋,UTC +13:45
CHAST,Chatham Island Standard Time,查塔姆岛标准时间,Pacific,太平洋,UTC +12:45
CHOST,Choibalsan Summer Time,乔巴山夏令时,Asia,亚洲,UTC +9
CHOT,Choibalsan Time,乔巴山时间,Asia,亚洲,UTC +8
CHUT,Chuuk Time,楚克时间,Pacific,太平洋,UTC +10
CIDST,Cayman Islands Daylight Saving Time,开曼群岛夏令时,Caribbean,加勒比海,UTC -4
CIST,Cayman Islands Standard Time,开曼群岛标准时间,Caribbean,加勒比海,UTC -5
CKT,Cook Island Time,库克岛时间,Pacific,太平洋,UTC -10
CLST,Chile Summer Time,智利夏令时 CLDT,South America Antarctica,"南美洲,南极洲",UTC -3
CLT,Chile Standard Time,智利标准时间,South America Antarctica,"南美洲,南极洲",UTC -4
COT,Colombia Time,哥伦比亚时间,South America,南美洲,UTC -5
CST,China Standard Time,中国标准时间,Asia,亚洲,UTC +8
CST,Cuba Standard Time,古巴标准时间,Caribbean,加勒比海,UTC -5
CDT,Central Daylight Time,北美中部夏令时间,North America,北美洲,UTC -5
CST,Central Standard Time,北美中部标准时间,North America,北美洲,UTC -6
CVT,Cape Verde Time,佛得角时间,Africa,非洲,UTC -1
CXT,Christmas Island Time,圣诞岛时间,Australia,澳大利亚,UTC +7
ChST,Chamorro Standard Time,查莫洛标准时间,Pacific,太平洋,UTC +10
DAVT,Davis Time,戴维斯时间,Antarctica,南极洲,UTC +7
DDUT,Dumont-d'Urville Time,杜蒙-德维尔时间,Antarctica,南极洲,UTC +10
EASST,Easter Island Summer Time,复活节岛夏令时,Pacific,太平洋,UTC -5
EAST,Easter Island Standard Time,复活节岛标准时间,Pacific,太平洋,UTC -6
EAT,Eastern Africa Time,东非时间,Africa Indian Ocean,"非洲,印度洋",UTC +3
ECT,Ecuador Time,厄瓜多尔时间,South America,南美洲,UTC -5
EDT,Eastern Daylight Time,东部夏令时间,North America Caribbean,"北美洲,加勒比海",UTC -4
EEST,Eastern European Summer Time,东欧夏令时,Europe Asia,"欧洲,亚洲",UTC +3
EET,Eastern European Time,东欧时间,Europe Asia Africa,"欧洲,亚洲,非洲",UTC +2
EGST,Eastern Greenland Summer Time,东格陵兰夏令时,North America,北美洲,UTC +0
EGT,East Greenland Time,东格陵兰时间,North America,北美洲,UTC -1
EST,Eastern Standard Time,东部标准时间,North America Caribbean Central America,"北美洲,加勒比海,中美洲",UTC -5
EDT,Eastern DayLight Time,东部夏令时,North America Caribbean,"北美洲,加勒比海",UTC -4
FET,Further-Eastern European Time,远东欧时间,Europe,欧洲,UTC +3
FJST,Fiji Summer Time,斐济夏令时,Pacific,太平洋,UTC +13
FJT,Fiji Time,斐济时间,Pacific,太平洋,UTC +12
FKST,Falkland Islands Summer Time,福克兰群岛夏令时,South America,南美洲,UTC -3
FKT,Falkland Island Time,福克兰岛时间,South America,南美洲,UTC -4
FNT,Fernando de Noronha Time,费尔南多·迪诺罗尼亚时间,South America,南美洲,UTC -2
GALT,Galapagos Time,加拉帕戈斯时间,Pacific,太平洋,UTC -6
GAMT,Gambier Time,甘比尔时间,Pacific,太平洋,UTC -9
GET,Georgia Standard Time,乔治亚标准时间,Asia Europe,"亚洲,欧洲",UTC +4
GFT,French Guiana Time,法属圭亚那时间,South America,南美洲,UTC -3
GILT,Gilbert Island Time,吉尔伯特岛时间,Pacific,太平洋,UTC +12
GMT,Greenwich Mean Time,格林威治标准时间,Europe Africa North America Antarctica,"欧洲,非洲,北美洲,南极洲",UTC +0
GST,Gulf Standard Time,海湾标准时间,Asia,亚洲,UTC +4
GST,South Georgia Time,南乔治亚时间,South America,南美洲,UTC -2
GYT,Guyana Time,圭亚那时间,South America,南美洲,UTC -4
HDT,Hawaii-Aleutian Daylight Time,夏威夷-阿留申夏令时,North America,北美洲,UTC -9
HKT,Hong Kong Time,香港时间,Asia,亚洲,UTC +8
HOVST,Hovd Summer Time,科布多夏令时,Asia,亚洲,UTC +8
HOVT,Hovd Time,科布多时间,Asia,亚洲,UTC +7
HST,Hawaii Standard Time,夏威夷标准时间,North America Pacific,"北美洲,太平洋",UTC -10
ICT,Indochina Time,印度支那时间,Asia,亚洲,UTC +7
IDT,Israel Daylight Time,以色列夏令时,Asia,亚洲,UTC +3
IOT,Indian Chagos Time,印度查戈斯时间,Indian Ocean,印度洋,UTC +6
IRDT,Iran Daylight Time,伊朗夏令时,Asia,亚洲,UTC +4:30
IRKST,Irkutsk Summer Time,伊尔库茨克夏令时,Asia,亚洲,UTC +9
IRKT,Irkutsk Time,伊尔库茨克时间,Asia,亚洲,UTC +8
IRST,Iran Standard Time,伊朗标准时间,Asia,亚洲,UTC +3:30
IST,India Standard Time,印度标准时间,Asia,亚洲,UTC +5:30
IST,Irish Standard Time,爱尔兰标准时间,Europe,欧洲,UTC +1
IST,Israel Standard Time,以色列标准时间,Asia,亚洲,UTC +2
JST,Japan Standard Time,日本标准时间,Asia,亚洲,UTC +9
KGT,Kyrgyzstan Time,吉尔吉斯斯坦时间,Asia,亚洲,UTC +6
KOST,Kosrae Time,科斯雷时间,Pacific,太平洋,UTC +11
KRAST,Krasnoyarsk Summer Time,克拉斯诺亚尔斯克夏令时,Asia,亚洲,UTC +8
KRAT,Krasnoyarsk Time,克拉斯诺亚尔斯克时间,Asia,亚洲,UTC +7
KST,Korea Standard Time,韩国标准时间,Asia,亚洲,UTC +9
KUYT,Kuybyshev Time,古比雪夫时间,Europe,欧洲,UTC +4
LHDT,Lord Howe Daylight Time,豪勋爵夏令时,Australia,澳大利亚,UTC +11
LHST,Lord Howe Standard Time,豪勋爵标准时间,Australia,澳大利亚,UTC +10:30
LINT,Line Islands Time,莱恩群岛时间,Pacific,太平洋,UTC +14
MAGST,Magadan Summer Time,马加丹夏令时,Asia,亚洲,UTC +12
MAGT,Magadan Time,马加丹时间,Asia,亚洲,UTC +11
MART,Marquesas Time,马克萨斯时间,Pacific,太平洋,UTC -9:30
MAWT,Mawson Time,莫森时间,Antarctica,南极洲,UTC +5
MDT,Mountain Daylight Time,北美山区夏令时,North America,北美洲,UTC -6
MHT,Marshall Islands Time,马绍尔群岛时间,Pacific,太平洋,UTC +12
MMT,Myanmar Time,缅甸时间,Asia,亚洲,UTC +6:30
MSD,Moscow Summer Time,莫斯科夏令时,Europe,欧洲,UTC +4
MSK,Moscow Standard Time,莫斯科标准时间,Europe Asia,"欧洲,亚洲",UTC +3
MST,Mountain Standard Time,北美山区标准时间,North America,北美洲,UTC -7
MDT,Mountain Daylight Time,北美山区夏令时,North America,北美洲,UTC -6
MUT,Mauritius Time,毛里求斯时间,Africa,非洲,UTC +4
MVT,Maldives Time,马尔代夫时间,Asia,亚洲,UTC +5
MYT,Malaysia Time,马来西亚时间,Asia,亚洲,UTC +8
NCT,New Caledonia Time,新喀里多尼亚时间,Pacific,太平洋,UTC +11
NDT,Newfoundland Daylight Time,纽芬兰夏令时,North America,北美洲,UTC -2:30
NFDT,Norfolk Daylight Time,诺福克夏令时,Australia,澳大利亚,UTC +12
NFT,Norfolk Time,诺福克时间,Australia,澳大利亚,UTC +11
NOVST,Novosibirsk Summer Time,新西伯利亚夏令时,Asia,亚洲,UTC +7
NOVT,Novosibirsk Time,新西伯利亚时间,Asia,亚洲,UTC +7
NPT,Nepal Time,尼泊尔时间,Asia,亚洲,UTC +5:45
NRT,Nauru Time,瑙鲁时间,Pacific,太平洋,UTC +12
NST,Newfoundland Standard Time,纽芬兰标准时间,North America,北美洲,UTC -3:30
NUT,Niue Time,纽埃时间,Pacific,太平洋,UTC -11
NZDT,New Zealand Daylight Time,新西兰夏令时,Pacific Antarctica,"太平洋,南极洲",UTC +13
NZST,New Zealand Standard Time,新西兰标准时间,Pacific Antarctica,"太平洋,南极洲",UTC +12
OMSST,Omsk Summer Time,鄂木斯克夏令时,Asia,亚洲,UTC +7
OMST,Omsk Standard Time,鄂木斯克标准时间,Asia,亚洲,UTC +6
ORAT,Oral Time,乌拉尔时间,Asia,亚洲,UTC +5
PET,Peru Time,秘鲁时间,South America,南美洲,UTC -5
PETST,Kamchatka Summer Time,堪察加夏令时,Asia,亚洲,UTC +12
PETT,Kamchatka Time,堪察加时间,Asia,亚洲,UTC +12
PGT,Papua New Guinea Time,巴布亚新几内亚时间,Pacific,太平洋,UTC +10
PHOT,Phoenix Island Time,凤凰岛时间,Pacific,太平洋,UTC +13
PHT,Philippine Time,菲律宾时间,Asia,亚洲,UTC +8
PKT,Pakistan Standard Time,巴基斯坦标准时间,Asia,亚洲,UTC +5
PMDT,Pierre & Miquelon Daylight Time,皮埃尔和密克隆夏令时间,North America,北美洲,UTC -2
PMST,Pierre & Miquelon Standard Time,皮埃尔和密克隆标准时间,North America,北美洲,UTC -3
PONT,Pohnpei Standard Time,波纳佩标准时间,Pacific,太平洋,UTC +11
PST,Pitcairn Standard Time,皮特凯恩标准时间,Pacific,太平洋,UTC -8
PST,Pacific Standard Time,太平洋标准时间,North America,北美洲,UTC -8
PDT,Pacific Daylight Time,太平洋夏令时,North America,北美洲,UTC -7
PWT,Palau Time,帕劳时间,Pacific,太平洋,UTC +9
PYST,Paraguay Summer Time,巴拉圭夏令时,South America,南美洲,UTC -3
PYT,Paraguay Time,巴拉圭时间,South America,南美洲,UTC -4
PYT,Pyongyang Time,平壤时间,Asia,亚洲,UTC +8:30
QYZT,Qyzylorda Time,奎兹洛达时间,Asia,亚洲,UTC +6
RET,Reunion Time,留尼汪时间,Africa,非洲,UTC +4
ROTT,Rothera Time,罗瑟拉时间,Antarctica,南极洲,UTC -3
SAKT,Sakhalin Time,库页岛时间,Asia,亚洲,UTC +11
SAMT,Samara Time,萨马拉时间,Europe,欧洲,UTC +4
SAST,South Africa Standard Time,南非标准时间,Africa,非洲,UTC +2
SBT,Solomon Islands Time,所罗门群岛时间,Pacific,太平洋,UTC +11
SCT,Seychelles Time,塞舌尔时间,Africa,非洲,UTC +4
SGT,Singapore Time,新加坡时间,Asia,亚洲,UTC +8
SRET,Srednekolymsk Time,斯列德涅科雷姆斯克时间,Asia,亚洲,UTC +11
SRT,Suriname Time,苏里南时间,South America,南美洲,UTC -3
SST,Samoa Standard Time,萨摩亚标准时间,Pacific,太平洋,UTC -11
SYOT,Syowa Time,昭和时间,Antarctica,南极洲,UTC +3
TAHT,Tahiti Time,大溪地时间,Pacific,太平洋,UTC -10
TFT,French Southern and Antarctic Time,法属南部和南极时间,Indian Ocean,印度洋,UTC +5
TJT,Tajikistan Time,塔吉克斯坦时间,Asia,亚洲,UTC +5
TKT,Tokelau Time,托克劳时间,Pacific,太平洋,UTC +13
TLT,East Timor Time,东帝汶时间,Asia,亚洲,UTC +9
TMT,Turkmenistan Time,土库曼斯坦时间,Asia,亚洲,UTC +5
TOST,Tonga Summer Time,汤加夏令时,Pacific,太平洋,UTC +14
TOT,Tonga Time,汤加时间,Pacific,太平洋,UTC +13
TRT,Turkey Time,土耳其时间,Asia Europe,"亚洲,欧洲",UTC +3
TVT,Tuvalu Time,图瓦卢时间,Pacific,太平洋,UTC +12
ULAST,Ulaanbaatar Summer Time,乌兰巴托夏令时,Asia,亚洲,UTC +9
ULAT,Ulaanbaatar Time,乌兰巴托时间,Asia,亚洲,UTC +8
UTC,Coordinated Universal Time,协调世界时,Worldwide,全球,UTC
UYST,Uruguay Summer Time,乌拉圭夏令时,South America,南美洲,UTC -2
UYT,Uruguay Time,乌拉圭时间,South America,南美洲,UTC -3
UZT,Uzbekistan Time,乌兹别克斯坦时间,Asia,亚洲,UTC +5
VET,Venezuelan Standard Time,委内瑞拉标准时间,South America,南美洲,UTC -4
VLAST,Vladivostok Summer Time,符拉迪沃斯托克夏令时,Asia,亚洲,UTC +11
VLAT,Vladivostok Time,符拉迪沃斯托克时间,Asia,亚洲,UTC +10
VOST,Vostok Time,沃斯托克时间,Antarctica,南极洲,UTC +6
VUT,Vanuatu Time,瓦努阿图时间,Pacific,太平洋,UTC +11
WAKT,Wake Time,威克岛,Pacific,太平洋,UTC +12
WARST,Western Argentine Summer Time,阿根廷西部夏令时,South America,南美洲,UTC -3
WAST,West Africa Summer Time,西非夏令时,Africa,非洲,UTC +2
WAT,West Africa Time,西非时间,Africa,非洲,UTC +1
WEST,Western European Summer Time,西欧夏令时,Europe Africa,"欧洲,非洲",UTC +1
WET,Western European Time,西欧时间,Europe Africa,"欧洲,非洲",UTC +0
WFT,Wallis and Futuna Time,瓦利斯和富图纳时间,Pacific,太平洋,UTC +12
WGST,Western Greenland Summer Time,格陵兰西部夏令时,North America,北美洲,UTC -2
WGT,West Greenland Time,西格陵兰时间,North America,北美洲,UTC -3
WIB,Western Indonesian Time,印度尼西亚西部时间,Asia,亚洲,UTC +7
WIT,Eastern Indonesian Time,印度尼西亚东部时间,Asia,亚洲,UTC +9
WITA,Central Indonesian Time,印度尼西亚中部时间,Asia,亚洲,UTC +8
WST,West Samoa Time,西萨摩亚时间,Pacific,太平洋,UTC +13
WST,Western Sahara Summer Time,西撒哈拉夏令时间,Africa,非洲,UTC +1
WT,Western Sahara Standard Time,西撒哈拉标准时间,Africa,非洲,UTC +0
YAKST,Yakutsk Summer Time,雅库茨克夏令时,Asia,亚洲,UTC +10
YAKT,Yakutsk Time,雅库茨克时间,Asia,亚洲,UTC +9
YAPT,Yap Time,雅普时间,Pacific,太平洋,UTC +10
YEKST,Yekaterinburg Summer Time,叶卡捷琳堡夏令时,Asia,亚洲,UTC +6
YEKT,Yekaterinburg Time,叶卡捷琳堡时间,Asia,亚洲,UTC +5
